frame,track_id,x,y,confidence
943,4,830.0722,671.5752,1.0
943,7,752.9923,371.60535,1.0
943,16,270.36456,288.39868,1.0
943,2,385.1816,360.60858,1.0
943,14,702.23987,274.8816,1.0
1106,4,829.83,671.66473,1.0
1106,7,752.41797,371.43472,1.0
1106,18,667.3822,236.56609,1.0
1106,13,1015.0931,378.84653,1.0
1106,14,705.2765,279.11185,1.0
1106,17,229.01332,405.24734,1.0
1106,16,261.2579,283.84076,1.0
1107,4,829.83,671.66473,1.0
1107,7,752.41797,371.43472,1.0
1107,18,667.3822,236.56609,1.0
1107,13,1015.0931,378.84653,1.0
1107,14,705.2765,279.11185,1.0
1107,17,229.01332,405.24734,1.0
1107,16,261.2579,283.84076,1.0
1108,4,829.7996,671.6128,1.0
1108,7,752.48157,371.44757,1.0
1108,13,1013.5716,378.7191,1.0
1108,18,667.4519,236.70543,1.0
1108,14,705.33386,279.88376,1.0
1108,17,228.68976,405.50256,1.0
1108,16,261.19693,284.48203,1.0
1109,4,829.80054,671.63885,1.0
1109,7,752.4357,371.43884,1.0
1109,13,1013.11487,378.23505,1.0
1109,14,705.3609,280.09146,1.0
1109,18,667.55304,236.37079,1.0
1109,17,228.62589,405.46426,1.0
1109,16,261.27737,284.6699,1.0
1110,4,829.8023,671.62683,1.0
1110,7,752.4356,371.44205,1.0
1110,13,1011.9461,378.36566,1.0
1110,14,705.35986,280.09668,1.0
1110,18,667.5517,236.37552,1.0
1110,17,228.6228,405.53046,1.0
1110,16,261.27817,284.6809,1.0
1115,4,829.6674,671.62823,1.0
1115,13,1009.50214,381.44794,1.0
1115,7,752.62964,371.4244,1.0
1115,14,705.4701,280.53497,1.0
1115,18,667.5411,236.33545,1.0
1115,16,260.9529,284.25906,1.0
1115,17,228.50835,406.19427,1.0
1115,2,384.86768,360.96597,1.0
1116,4,829.6665,671.63495,1.0
1116,7,752.63586,371.43613,1.0
1116,14,705.4632,280.59207,1.0
1116,13,1008.50336,382.2759,1.0
1116,18,667.5456,236.28244,1.0
1116,16,260.95096,284.25348,1.0
1116,17,228.56343,406.24915,1.0
1116,2,384.86945,360.98276,1.0
1117,4,829.7188,671.6125,1.0
1117,7,752.6287,371.48303,1.0
1117,14,705.7433,280.11786,1.0
1117,13,1008.47864,382.25208,1.0
1117,16,260.8738,284.49417,1.0
1117,17,228.30301,406.56146,1.0
1117,18,667.6224,235.48917,1.0
1117,2,384.84464,360.9852,1.0
1118,4,829.71246,671.591,1.0
1118,7,752.6567,371.52112,1.0
1118,13,1007.1798,381.36578,1.0
1118,14,705.91,279.85318,1.0
1118,16,260.6977,284.3247,1.0
1118,17,228.31598,406.6545,1.0
1118,18,667.8,235.04694,1.0
1118,2,384.8458,361.09848,1.0
1119,4,829.71246,671.591,1.0
1119,7,752.6567,371.52112,1.0
1119,13,1007.1798,381.36578,1.0
1119,14,705.91,279.85318,1.0
1119,16,260.6977,284.3247,1.0
1119,17,228.31598,406.6545,1.0
1119,18,667.8,235.04694,1.0
1119,2,384.8458,361.09848,1.0
1120,4,829.70306,671.56995,1.0
1120,7,752.704,371.4819,1.0
1120,17,228.2554,406.87033,1.0
1120,14,706.18317,279.60867,1.0
1120,16,260.49026,284.79947,1.0
1120,13,1006.4008,380.86044,1.0
1120,18,667.81573,234.80856,1.0
1120,2,384.7879,360.97977,1.0
1121,4,829.69135,671.56854,1.0
1121,7,752.6978,371.45978,1.0
1121,14,706.1429,279.95398,1.0
1121,17,228.12158,407.08292,1.0
1121,16,260.3154,285.15707,1.0
1121,13,1006.26935,381.4526,1.0
1121,2,384.79675,361.03088,1.0
1121,18,667.84454,234.81561,1.0
1122,4,829.6891,671.583,1.0
1122,7,752.6995,371.46783,1.0
1122,13,1005.136,377.34662,1.0
1122,14,706.13635,280.04825,1.0
1122,17,228.11456,407.08557,1.0
1122,16,260.3078,285.148,1.0
1122,2,384.7958,361.04428,1.0
1122,18,667.85504,234.80994,1.0
1123,4,829.68585,671.6057,1.0
1123,7,752.6976,371.4473,1.0
1123,14,706.1476,280.03552,1.0
1123,17,228.1485,407.0093,1.0
1123,13,1005.1101,377.3665,1.0
1123,16,260.16693,285.3865,1.0
1123,2,384.74628,361.04727,1.0
1123,18,667.8738,234.45656,1.0
1124,4,829.6784,671.60724,1.0
1124,13,1004.4466,378.7479,1.0
1124,7,752.6989,371.52695,1.0
1124,14,706.319,280.09595,1.0
1124,17,228.1059,407.1052,1.0
1124,16,260.10944,285.29153,1.0
1124,18,668.0411,234.43985,1.0
1124,2,384.74823,360.95132,1.0
1125,4,829.6784,671.60724,1.0
1125,13,1004.4466,378.7479,1.0
1125,7,752.6994,371.52676,1.0
1125,14,706.319,280.09616,1.0
1125,17,228.10622,407.10446,1.0
1125,16,260.10947,285.29044,1.0
1125,18,668.0411,234.43947,1.0
1125,2,384.7479,360.9511,1.0
1126,4,829.68463,671.55334,1.0
1126,13,1003.2209,378.60147,1.0
1126,7,752.7125,371.51038,1.0
1126,14,706.5028,280.20517,1.0
1126,17,228.11313,407.12512,1.0
1126,16,260.0387,285.11795,1.0
1126,2,384.71472,360.8683,1.0
1126,18,668.30115,233.76472,1.0
1127,4,829.7022,671.52356,1.0
1127,7,752.6576,371.498,1.0
1127,13,1003.1666,378.6876,1.0
1127,14,706.53094,280.32755,1.0
1127,17,228.08127,406.9798,1.0
1127,16,260.07672,285.14047,1.0
1127,2,384.76904,360.9137,1.0
1127,18,668.15985,234.75835,1.0
1128,4,829.7012,671.53864,1.0
1128,7,752.64294,371.46072,1.0
1128,14,706.5083,280.4681,1.0
1128,17,228.20921,407.1463,1.0
1128,16,260.0796,285.15372,1.0
1128,13,1001.5961,378.79355,1.0
1128,18,668.40356,234.77855,1.0
1128,2,384.76825,360.90115,1.0
1129,4,829.6862,671.489,1.0
1129,7,752.589,371.51303,1.0
1129,14,706.5379,280.33878,1.0
1129,17,228.20639,407.07004,1.0
1129,16,260.06863,284.86362,1.0
1129,2,384.77444,360.91754,1.0
1129,13,1001.38324,378.70175,1.0
1129,18,668.4605,233.737,1.0
1130,4,829.4887,671.5631,1.0
1130,7,752.59357,371.45303,1.0
1130,17,228.14641,406.8499,1.0
1130,14,706.4313,280.5002,1.0
1130,13,1000.0932,375.67035,1.0
1130,2,384.70334,360.98083,1.0
1130,16,259.97467,284.93024,1.0
1130,18,668.483,234.68842,1.0
1131,4,829.4887,671.5631,1.0
1131,7,752.59357,371.45303,1.0
1131,17,228.14641,406.8499,1.0
1131,14,706.4313,280.5002,1.0
1131,13,1000.0932,375.67035,1.0
1131,2,384.70334,360.98083,1.0
1131,16,259.97467,284.93024,1.0
1131,18,668.483,234.68842,1.0
1132,4,829.6623,671.39435,1.0
1132,7,752.5959,371.39288,1.0
1132,17,228.16078,406.82236,1.0
1132,2,384.551,361.07797,1.0
1132,14,706.2161,280.58105,1.0
1132,13,997.70514,375.28534,1.0
1132,16,259.84418,284.93854,1.0
1132,18,668.5635,235.63487,1.0
1133,4,829.6373,671.37366,1.0
1133,7,752.6241,371.39035,1.0
1133,17,228.15495,406.9429,1.0
1133,2,384.54825,361.06888,1.0
1133,14,706.35864,280.7624,1.0
1133,13,997.7442,375.31873,1.0
1133,16,259.7977,284.73087,1.0
1133,18,668.54254,235.80702,1.0
1134,4,829.6302,671.3798,1.0
1134,7,752.6253,371.39093,1.0
1134,17,228.17606,406.9398,1.0
1134,13,996.6263,375.66705,1.0
1134,2,384.552,361.07745,1.0
1134,14,706.35785,280.7667,1.0
1134,16,259.7815,284.71616,1.0
1134,18,668.5459,235.85185,1.0
1135,4,829.6359,671.38995,1.0
1135,7,752.6444,371.39575,1.0
1135,17,228.27318,407.05914,1.0
1135,13,996.70337,375.76654,1.0
1135,2,384.59293,361.0521,1.0
1135,14,706.3934,280.74246,1.0
1135,16,259.75696,284.77713,1.0
1135,18,668.7626,232.79613,1.0
1136,4,829.62695,671.3539,1.0
1136,7,752.62024,371.45258,1.0
1136,13,994.9959,376.98224,1.0
1136,14,706.4195,280.6661,1.0
1136,17,228.1173,406.86383,1.0
1136,2,384.61783,360.97168,1.0
1136,16,259.6962,284.55188,1.0
1136,18,668.7495,232.53755,1.0
1137,4,829.62695,671.3539,1.0
1137,7,752.62024,371.45258,1.0
1137,13,994.9959,376.98224,1.0
1137,14,706.4195,280.6661,1.0
1137,17,228.1173,406.86383,1.0
1137,2,384.61783,360.97168,1.0
1137,16,259.6962,284.55188,1.0
1137,18,668.7495,232.53755,1.0
1138,4,829.5904,671.28394,1.0
1138,7,752.5848,371.44705,1.0
1138,13,994.0699,377.71844,1.0
1138,14,706.58795,280.62128,1.0
1138,17,227.92068,406.46344,1.0
1138,2,384.7266,360.80862,1.0
1138,16,259.44037,284.24667,1.0
1138,18,668.8867,230.9522,1.0
1139,4,829.478,671.3595,1.0
1139,7,752.5697,371.48532,1.0
1139,13,994.0465,377.58038,1.0
1139,14,706.5512,280.6607,1.0
1139,17,227.90862,406.4756,1.0
1139,2,384.69754,360.79337,1.0
1139,16,259.48227,284.39374,1.0
1139,18,668.8154,232.27788,1.0
1140,4,829.47876,671.36584,1.0
1140,7,752.56494,371.49982,1.0
1140,13,993.04694,377.0633,1.0
1140,14,706.6839,280.24835,1.0
1140,17,228.01799,406.60944,1.0
1140,2,384.69638,360.78473,1.0
1140,16,259.48276,284.38986,1.0
1140,18,668.82495,232.25499,1.0
1141,4,829.41943,671.4218,1.0
1141,7,752.5415,371.51126,1.0
1141,14,706.72845,280.3874,1.0
1141,13,992.9901,377.0296,1.0
1141,17,228.00934,406.47928,1.0
1141,2,384.56937,360.61087,1.0
1141,18,668.8307,232.21881,1.0
1142,13,991.9759,375.76523,1.0
1142,4,829.37463,671.3566,1.0
1142,7,752.5234,371.46213,1.0
1142,14,706.7789,280.3722,1.0
1142,17,227.99591,406.616,1.0
1142,18,668.8459,232.73367,1.0
1143,13,991.8757,376.0167,1.0
1143,4,829.4195,671.3773,1.0
1143,7,752.5202,371.48584,1.0
1143,14,706.76624,280.39606,1.0
1143,17,227.9963,406.7204,1.0
1143,18,668.84607,232.72179,1.0
1144,4,829.4273,671.29834,1.0
1144,7,752.477,371.42047,1.0
1144,13,990.3856,376.0717,1.0
1144,14,706.7541,280.6308,1.0
1144,17,228.08926,406.9163,1.0
1144,18,668.84406,233.53235,1.0
1145,4,829.41693,671.2605,1.0
1145,7,752.54553,371.44147,1.0
1145,13,990.4147,376.10614,1.0
1145,14,706.8265,280.59283,1.0
1145,17,228.11057,406.98956,1.0
1145,18,668.8283,233.30238,1.0
1147,4,829.3931,671.26526,1.0
1147,7,752.4616,371.4618,1.0
1147,13,989.25116,375.1777,1.0
1147,14,706.82324,280.63562,1.0
1147,17,228.12117,407.00122,1.0
1147,18,668.82935,233.71652,1.0
1148,4,829.4709,671.19714,1.0
1148,7,752.4341,371.4049,1.0
1148,13,987.95197,375.2162,1.0
1148,14,706.9341,280.49908,1.0
1148,17,228.15953,407.2572,1.0
1148,18,668.9003,234.78618,1.0
1149,4,829.4709,671.19714,1.0
1149,7,752.4341,371.4049,1.0
1149,13,987.95197,375.2162,1.0
1149,14,706.9341,280.49908,1.0
1149,17,228.15953,407.2572,1.0
1149,18,668.9003,234.78618,1.0
1160,4,829.60254,671.27606,1.0
1160,7,752.35425,371.4332,1.0
1160,17,228.18835,407.67075,1.0
1160,14,707.04175,280.7777,1.0
1160,13,977.64233,374.5632,1.0
1160,18,669.16705,236.45177,1.0
1161,4,829.60254,671.27606,1.0
1161,7,752.35425,371.4332,1.0
1161,17,228.18835,407.67075,1.0
1161,14,707.04175,280.7777,1.0
1161,13,977.64233,374.5632,1.0
1161,18,669.16705,236.45177,1.0
1162,4,829.5944,671.2408,1.0
1162,7,752.3927,371.43594,1.0
1162,17,228.18098,407.7019,1.0
1162,14,707.1905,280.5108,1.0
1162,13,976.8515,373.46695,1.0
1162,18,669.24493,235.66876,1.0
1163,4,829.58405,671.26843,1.0
1163,7,752.394,371.43192,1.0
1163,17,228.13666,407.6471,1.0
1163,14,707.18756,280.51947,1.0
1163,13,976.83136,373.35547,1.0
1163,18,669.2375,235.90509,1.0
1164,4,829.5837,671.2737,1.0
1164,7,752.3936,371.43143,1.0
1164,17,228.13646,407.67667,1.0
1164,14,707.1921,280.50998,1.0
1164,18,669.2365,235.89572,1.0
1164,13,975.67334,371.62027,1.0
1165,4,829.58276,671.2701,1.0
1165,7,752.39514,371.4288,1.0
1165,17,228.13803,407.67786,1.0
1165,14,707.1967,280.49518,1.0
1165,18,669.242,235.84038,1.0
1165,13,975.5975,371.746,1.0
1166,4,829.5551,671.27155,1.0
1166,7,752.39276,371.43167,1.0
1166,17,228.13896,407.68207,1.0
1166,14,707.15375,280.59448,1.0
1166,18,669.49524,235.12135,1.0
1166,13,973.88367,371.62772,1.0
1167,4,829.5551,671.27155,1.0
1167,7,752.39276,371.43167,1.0
1167,17,228.13896,407.68207,1.0
1167,14,707.15375,280.59448,1.0
1167,18,669.49524,235.12135,1.0
1167,13,973.88367,371.62772,1.0
1617,4,826.1665,670.9045,1.0
1617,13,889.73004,362.85117,1.0
1617,2,385.7835,360.75922,1.0
1617,7,766.23224,376.81802,1.0
1617,21,421.51627,351.1574,1.0
1617,17,326.59906,378.5685,1.0
1618,4,826.2946,670.998,1.0
1618,13,889.56476,362.91272,1.0
1618,2,385.78888,360.7552,1.0
1618,7,766.2226,376.81796,1.0
1618,17,328.28372,379.59744,1.0
1618,21,421.51855,351.11682,1.0
1619,4,826.2946,670.998,1.0
1619,13,889.56476,362.91272,1.0
1619,2,385.78888,360.7552,1.0
1619,7,766.2226,376.81796,1.0
1619,17,328.28372,379.59744,1.0
1619,21,421.51855,351.11682,1.0
1621,4,826.3186,671.0346,1.0
1621,13,889.32684,362.9186,1.0
1621,2,385.81232,360.79877,1.0
1621,17,330.3753,377.50723,1.0
1621,7,766.24994,376.78586,1.0
1621,21,421.4877,351.1318,1.0
1622,4,826.3145,671.0379,1.0
1622,13,889.32526,362.93088,1.0
1622,2,385.81982,360.84406,1.0
1622,7,766.2477,376.78293,1.0
1622,17,332.64145,375.10345,1.0
1622,21,421.48117,351.13297,1.0
1770,4,808.4741,658.72205,1.0
1770,7,766.01886,376.73248,1.0
1770,13,871.2106,360.78415,1.0
1770,2,386.3361,361.25247,1.0
1770,25,467.10593,339.08005,1.0
1770,26,676.4219,281.05707,1.0
1771,4,808.489,658.7017,1.0
1771,7,765.9828,376.75464,1.0
1771,2,386.30942,361.38715,1.0
1771,13,871.3341,360.62466,1.0
1771,25,467.11264,339.05896,1.0
2061,1,48.818756,567.5205,1.0
2061,4,710.43414,543.1074,1.0
2061,7,700.89014,350.22305,1.0
2061,13,671.27356,372.14658,1.0
2061,10,90.36055,675.19135,1.0
2061,2,443.52786,377.3637,1.0
2061,30,840.68567,311.6867,1.0
2061,32,398.70374,355.38754,1.0
2062,1,49.38881,567.8199,1.0
2062,4,710.32025,542.6768,1.0
2062,7,700.0755,350.4525,1.0
2062,10,90.576706,675.0035,1.0
2062,13,670.9098,371.86426,1.0
2062,30,840.6963,311.36218,1.0
2062,2,443.5127,377.3761,1.0
